system:index,0,0.5,1,1.5,total_area_96,total_area_20,total_loss,total_gain,change,per_change,seascape_size
"-1,982,352",N,N,N,N,0,0,0,0,0,0,25
"-1,981,352",N,N,N,N,0,0,0,0,0,0,25
"-1,980,352",N,N,N,N,0,0,0,0,0,0,25
"-1,979,352",N,N,N,N,0,0,0,0,0,0,25
"-1,978,352",N,N,N,N,0,0,0,0,0,0,25
"-1,977,352",MS,S,S,S,0.632541918,1.079890722,0.259113951,0.706462755,0.447348804,70.72239661,25
"-1,976,352",S,S,S,S,1.242769909,1.420972614,0.978163857,1.156400321,0.178202705,14.33915512,25
"-1,975,352",S,S,S,S,1.504755784,0.596852404,1.359846226,0.451942846,-0.90790338,-60.33559662,25
"-1,974,352",S,S,S,S,2.92360788,0.35065285,2.72704801,0.15409298,-2.57295503,-88.00616005,25
"-1,973,352",S,S,S,S,2.097108339,0.996378232,1.905981258,0.805183632,-1.100730107,-52.48799437,25
"-1,972,352",MS,MS,MS,MS,2.573542535,3.403728667,0.029832731,0.860018865,0.830186132,32.25849663,25
"-1,971,352",MS,MS,S,S,2.403749494,3.150966837,0.247064099,0.994281442,0.747217343,31.08549143,25
"-1,970,352",M,N,N,N,0.049641737,0.04792006,0.00258252,0.000860844,-0.001721677,-3.468204588,25
"-1,969,352",MS,MS,MS,S,0.853043576,0.882312424,0.275183624,0.304452471,0.029268848,3.43110819,25
"-1,968,352",S,S,S,N,0.319376989,0.009469379,0.319376989,0.009469379,-0.30990761,-97.03504657,25
"-1,967,352",S,S,S,S,0.401441662,0,0.401428159,0,-0.401441662,-100,25
"-1,966,352",S,S,S,S,0.554381262,0,0.554381262,0,-0.554381262,-100,25
"-1,965,352",S,S,S,S,3.24785863,0.001721693,3.246136937,0,-3.246136937,-99.9469899,25
"-1,964,352",S,S,S,S,4.053029975,0,4.052820672,0,-4.053029975,-100,25
"-1,963,352",S,S,S,S,4.461364428,0,4.461364428,0,-4.461364428,-100,25
"-1,962,352",S,S,S,S,4.782455835,0,4.782455835,0,-4.782455835,-100,25
"-1,961,352",S,S,S,S,4.782455835,0,4.782233029,0,-4.782455835,-100,25
"-1,960,352",S,S,S,S,4.757204233,0.001721671,4.755482562,0,-4.755482562,-99.96380918,25
"-1,959,352",S,S,S,S,2.507633082,0.032711987,2.486972901,0.012051806,-2.474921095,-98.69550345,25
"-1,958,352",MS,S,S,S,1.397438439,1.440767936,0.111045571,0.154368316,0.043329497,3.100637265,25
"-1,957,352",MS,M,N,N,0.200286668,0.195408648,0.010616949,0.005738928,-0.00487802,-2.435519073,25
"-1,956,352",N,N,N,N,0,0,0,0,0,0,25
"-1,955,352",N,N,N,N,0,0,0,0,0,0,25
"-1,954,352",N,N,N,N,0,0,0,0,0,0,25
"-1,953,352",N,N,N,N,0,0,0,0,0,0,25
"-1,952,352",N,N,N,N,0,0,0,0,0,0,25
"-1,951,352",MS,MS,MS,M,2.170089031,1.811413194,0.370153901,0.011478064,-0.358675837,-16.5281623,25
"-1,950,352",S,S,S,S,2.042216105,0.000860857,2.042216105,0.000860857,-2.041355248,-99.95784692,25
"-1,949,352",S,S,S,S,2.340075975,0.03558179,2.322730588,0.018364686,-2.304494185,-98.47946005,25
"-1,948,352",S,S,S,S,1.065734345,0.003443411,1.065734345,0.003443411,-1.062290934,-99.67689781,25
"-1,947,352",S,S,S,S,0.507902399,0,0.507902399,0,-0.507902399,-100,25
"-1,946,352",S,S,S,S,0.821247185,0.239027537,0.73056788,0.148327977,-0.582219648,-70.89456848,25
"-1,945,352",S,N,N,N,0.069442505,0.191683303,0.031851788,0.154092586,0.122240798,176.0316653,25
"-1,944,352",N,N,N,N,0,0.466865885,0,0.466865885,0.466865885,0,25
"-1,943,352",S,N,N,N,0.061407725,0.002582594,0.061407725,0.002582594,-0.058825131,-95.79434998,25
"-1,982,353",N,N,N,N,0,0,0,0,0,0,25
"-1,981,353",N,N,N,N,0,0,0,0,0,0,25
"-1,980,353",S,S,S,S,2.42165298,0.601630177,1.937936082,0.117913279,-1.820022803,-75.15621842,25
"-1,979,353",S,S,S,S,5.955406561,7.804609161,3.480919729,5.330122328,1.8492026,31.05082048,25
"-1,978,353",S,S,S,S,7.767732619,10.98889388,2.271328282,5.492489539,3.221161261,41.4684879,25
"-1,977,353",S,S,S,S,8.14955521,4.742465234,6.885755018,3.478665042,-3.407089976,-41.80706662,25
"-1,976,353",S,S,S,S,10.36499732,1.541089185,9.720562033,0.896653895,-8.823908135,-85.1317937,25
"-1,975,353",S,S,S,S,20.63767326,0.606545191,20.21532613,0.184198052,-20.03112807,-97.06098074,25
"-1,974,353",S,S,S,S,18.34522702,2.210506417,17.09208729,0.957366687,-16.1347206,-87.95050934,25
"-1,973,353",S,S,S,S,7.462901683,5.065282204,5.942862071,3.545242593,-2.397619479,-32.12717494,25
"-1,972,353",MS,MS,MS,MS,10.11030411,9.99765515,3.371933763,3.259284802,-0.11264896,-1.114199521,25
"-1,971,353",MS,MS,MS,MS,2.728982674,2.615639282,0.65591242,0.542569028,-0.113343392,-4.153320323,25
