system:index,mangrove_1996_area,mangrove_2020_area,mangrove_gain,mangrove_loss,reef_1996_area,reef_2020_area,reef_gain,reef_loss,seagrass_1996_area,seagrass_2020_area,seagrass_gain,seagrass_loss,1996_0.0,1996_0.5,1996_1.0,1996_1.5,2020_0.0,2020_0.5,2020_1.0,2020_1.5,total_loss,total_gain,per_loss,per_gain,percent_loss,percent_gain,seascape_size
"-1,982,352",0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,0,0,#DIV/0!,#DIV/0!,0,0,25
"-1,981,352",0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,0,0,#DIV/0!,#DIV/0!,0,0,25
"-1,980,352",0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,0,0,#DIV/0!,#DIV/0!,0,0,25
"-1,979,352",0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,0,0,#DIV/0!,#DIV/0!,0,0,25
"-1,978,352",0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,0,0,#DIV/0!,#DIV/0!,0,0,25
"-1,977,352",0.003551547,0.003551547,0,0,0,0,0,0,0.628990371,1.076339175,0.706462755,0.259113951,MS,S,S,S,MS,S,S,S,0.259113951,0.706462755,40.96391775,111.6863144,1.036455804,2.825851019,25
"-1,976,352",0,0,0,0,0,0,0,0,1.242769909,1.420972614,1.156400321,0.978163857,S,S,S,S,S,S,S,S,0.978163857,1.156400321,78.70836346,93.05023501,3.912655427,4.625601282,25
"-1,975,352",0,0,0,0,0,0,0,0,1.504755784,0.596852404,0.451942846,1.359846226,S,S,S,S,S,S,S,S,1.359846226,0.451942846,90.36989527,30.03429864,5.439384905,1.807771383,25
"-1,974,352",0,0,0,0,0,0,0,0,2.92360788,0.35065285,0.15409298,2.72704801,S,S,S,S,S,S,S,N,2.72704801,0.15409298,93.27680462,5.270644571,10.90819204,0.61637192,25
"-1,973,352",0,0,0,0,0,0,0,0,2.097108339,0.996378232,0.805183632,1.905981258,S,S,S,S,S,S,S,S,1.905981258,0.805183632,90.88616084,38.39494684,7.62392503,3.220734529,25
"-1,972,352",0.56348187,0.577978079,0.02252075,0.00802454,0,0,0,0,2.010060665,2.825750588,0.837498115,0.021808191,MS,MS,MS,MS,MS,MS,MS,MS,0.029832731,0.860018865,1.159208779,33.41770549,0.119330926,3.440075458,25
"-1,971,352",0.208889286,0.211471871,0.002582585,0,0,0,0,0,2.194860208,2.939494966,0.991698857,0.247064099,MS,MS,S,S,MS,MS,S,S,0.247064099,0.994281442,10.27827981,41.36377124,0.988256397,3.977125767,25
"-1,970,352",0.049641737,0.04792006,0.000860844,0.00258252,0,0,0,0,0,0,0,0,M,N,N,N,M,N,N,N,0.00258252,0.000860844,5.202315946,1.734113373,0.01033008,0.003443375,25
"-1,969,352",0.287753397,0.296362048,0.010330375,0.001721725,0,0,0,0,0.565290179,0.585950376,0.294122096,0.2734619,MS,MS,MS,S,MS,MS,MS,S,0.275183624,0.304452471,32.2590348,35.69014287,1.100734497,1.217809885,25
"-1,968,352",0,0,0,0,0,0,0,0,0.319376989,0.009469379,0.009469379,0.319376989,S,S,S,N,S,N,N,N,0.319376989,0.009469379,100,2.964953433,1.277507956,0.037877516,25
"-1,967,352",0,0,0,0,0,0,0,0,0.401441662,0,0,0.401428159,S,S,S,S,N,N,N,N,0.401428159,0,99.99663637,0,1.605712635,0,25
"-1,966,352",0,0,0,0,0,0,0,0,0.554381262,0,0,0.554381262,S,S,S,S,N,N,N,N,0.554381262,0,100,0,2.217525046,0,25
"-1,965,352",0,0,0,0,0,0,0,0,3.24785863,0.001721693,0,3.246136937,S,S,S,S,S,N,N,N,3.246136937,0,99.9469899,0,12.98454775,0,25
"-1,964,352",0,0,0,0,0,0,0,0,4.053029975,0,0,4.052820672,S,S,S,S,N,N,N,N,4.052820672,0,99.99483589,0,16.21128269,0,25
"-1,963,352",0,0,0,0,0,0,0,0,4.461364428,0,0,4.461364428,S,S,S,S,N,N,N,N,4.461364428,0,100,0,17.84545771,0,25
